Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 08:19:38,0.36,0.1,0.06
2025-06-29 08:20:39,0.37,0.1,0.06
2025-06-29 08:21:39,0.37,0.13,0.06
2025-06-29 08:22:40,0.37,0.11,0.06
2025-06-29 08:23:40,0.38,0.07,0.06
2025-06-29 08:24:41,0.37,0.13,0.06
2025-06-29 08:25:41,0.36,0.12,0.06
2025-06-29 08:26:42,0.38,0.11,0.06
2025-06-29 08:27:42,0.37,0.15,0.06
2025-06-29 08:28:43,0.37,0.1,0.06
2025-06-29 08:29:44,0.39,0.1,0.06
2025-06-29 08:30:44,0.38,0.13,0.06
2025-06-29 08:31:45,0.36,0.13,0.06
2025-06-29 08:32:45,0.39,0.1,0.06
2025-06-29 08:33:46,0.39,0.13,0.06
2025-06-29 08:34:46,0.36,0.11,0.06
2025-06-29 08:35:47,0.37,0.1,0.06
2025-06-29 08:36:47,0.38,0.14,0.06
2025-06-29 08:37:48,0.38,0.13,0.06
2025-06-29 08:38:48,0.37,0.15,0.06
2025-06-29 08:39:49,0.37,0.1,0.06
2025-06-29 08:40:49,0.35,0.12,0.06
2025-06-29 08:41:50,0.37,0.13,0.06
2025-06-29 08:42:50,0.38,0.07,0.06
2025-06-29 08:43:51,0.36,0.1,0.06
2025-06-29 08:44:51,0.36,0.12,0.06
2025-06-29 08:45:52,0.36,0.11,0.06
2025-06-29 08:46:44,0.37,0.1,0.06
2025-06-29 08:47:45,0.39,0.09,0.06
2025-06-29 08:48:45,0.36,0.11,0.06
2025-06-29 08:49:46,0.36,0.1,0.06
2025-06-29 08:50:46,0.36,0.13,0.06
2025-06-29 08:51:47,0.36,0.12,0.06
2025-06-29 08:52:47,0.38,0.13,0.06
2025-06-29 08:53:48,0.36,0.12,0.06
2025-06-29 08:54:48,0.36,0.11,0.06
2025-06-29 08:55:49,0.35,0.12,0.06
2025-06-29 08:56:49,0.38,0.09,0.06
2025-06-29 08:57:50,0.37,0.09,0.06
2025-06-29 08:58:50,0.37,0.08,0.06
2025-06-29 08:59:51,0.38,0.11,0.06
2025-06-29 09:00:51,0.35,0.1,0.06
2025-06-29 09:01:52,0.38,0.1,0.06
2025-06-29 09:02:52,0.36,0.12,0.06
2025-06-29 09:03:53,0.35,0.12,0.06
2025-06-29 09:04:53,0.35,0.12,0.06
2025-06-29 09:05:54,0.39,0.1,0.06
2025-06-29 09:06:55,0.37,0.14,0.06
2025-06-29 09:07:55,0.38,0.09,0.06
2025-06-29 09:08:56,0.36,0.12,0.06
2025-06-29 09:09:56,0.37,0.14,0.06
2025-06-29 09:10:57,0.37,0.1,0.06
2025-06-29 09:11:57,0.35,0.12,0.06
2025-06-29 09:12:58,0.36,0.1,0.06
2025-06-29 09:13:58,0.38,0.11,0.06
2025-06-29 09:14:59,0.38,0.1,0.06
2025-06-29 09:15:59,0.37,0.07,0.06
2025-06-29 09:17:00,0.38,0.12,0.06
2025-06-29 09:18:00,0.35,0.1,0.06
2025-06-29 09:19:01,0.35,0.11,0.06
